variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
corpus_calibrated_softmax,0.1,policy,3,76.926673,0.031322,0.003257,0.028065
corpus_calibrated_softmax,0.1,research,4,309526.093044,0.121684,0.159668,-0.037984
corpus_calibrated_softmax,0.1,policy,4,66.979398,0.027272,0.000814,0.026458
corpus_calibrated_softmax,0.1,research,5,100683.802508,0.039582,0.022973,0.016609
corpus_calibrated_softmax,0.1,policy,5,88.252992,0.035934,0.007329,0.028605
corpus_calibrated_softmax,0.1,research,6,79392.95132,0.031212,0.025802,0.00541
corpus_calibrated_softmax,0.1,policy,6,39.430725,0.016055,0.002036,0.014019
corpus_calibrated_softmax,0.1,research,7,250413.770903,0.098445,0.078628,0.019817
corpus_calibrated_softmax,0.1,policy,7,85.60702,0.034856,0.004479,0.030377
corpus_calibrated_softmax,0.1,research,8,74988.186425,0.02948,0.018228,0.011252
corpus_calibrated_softmax,0.1,policy,8,27.206722,0.011078,0.011401,-0.000323
corpus_calibrated_softmax,0.1,research,9,175722.164125,0.069081,0.142829,-0.073748
corpus_calibrated_softmax,0.1,policy,9,88.764896,0.036142,0.03013,0.006012
corpus_calibrated_softmax,0.1,research,10,64290.583155,0.025274,0.006224,0.01905
corpus_calibrated_softmax,0.1,policy,10,19.822073,0.008071,0.000814,0.007257
corpus_calibrated_softmax,0.1,research,11,148677.163373,0.058449,0.077127,-0.018678
corpus_calibrated_softmax,0.1,policy,11,42.04586,0.01712,0.035423,-0.018303
corpus_calibrated_softmax,0.1,research,12,96325.411082,0.037868,0.037825,4.3e-05
corpus_calibrated_softmax,0.1,policy,12,25.313926,0.010307,0.004479,0.005828
corpus_calibrated_softmax,0.1,research,13,64076.902339,0.02519,0.020028,0.005162
corpus_calibrated_softmax,0.1,policy,13,387.805854,0.157901,0.155537,0.002364
corpus_calibrated_softmax,0.1,research,14,126875.188876,0.049878,0.034446,0.015432
corpus_calibrated_softmax,0.1,policy,14,98.88669,0.040263,0.002036,0.038227
corpus_calibrated_softmax,0.1,research,15,125468.356409,0.049325,0.039452,0.009873
corpus_calibrated_softmax,0.1,policy,15,77.046557,0.031371,0.002443,0.028928
corpus_calibrated_softmax,0.1,research,16,230736.292885,0.090709,0.074819,0.01589
corpus_calibrated_softmax,0.1,policy,16,1003.658919,0.408656,0.125814,0.282842
corpus_calibrated_softmax,0.1,research,17,38618.161507,0.015182,0.008055,0.007127
corpus_calibrated_softmax,0.1,policy,17,231.639854,0.094316,0.593648,-0.499332
corpus_calibrated_softmax,0.2,research,1,73623.645332,0.028944,0.006102,0.022842
corpus_calibrated_softmax,0.2,policy,1,35.965535,0.014644,0.013844,0.0008
corpus_calibrated_softmax,0.2,research,2,116836.267436,0.045932,0.030593,0.015339
corpus_calibrated_softmax,0.2,policy,2,69.628815,0.02835,0.006515,0.021835
corpus_calibrated_softmax,0.2,research,3,427979.518501,0.168251,0.2172,-0.048949
corpus_calibrated_softmax,0.2,policy,3,76.172065,0.031015,0.003257,0.027758
corpus_calibrated_softmax,0.2,research,4,298999.355639,0.117545,0.159668,-0.042123
corpus_calibrated_softmax,0.2,policy,4,68.640603,0.027948,0.000814,0.027134
corpus_calibrated_softmax,0.2,research,5,114953.044905,0.045191,0.022973,0.022218
corpus_calibrated_softmax,0.2,policy,5,89.384844,0.036394,0.007329,0.029065
corpus_calibrated_softmax,0.2,research,6,91575.294464,0.036001,0.025802,0.010199
corpus_calibrated_softmax,0.2,policy,6,45.84089,0.018665,0.002036,0.016629
corpus_calibrated_softmax,0.2,research,7,233576.326946,0.091825,0.078628,0.013197
corpus_calibrated_softmax,0.2,policy,7,93.373021,0.038018,0.004479,0.033539
corpus_calibrated_softmax,0.2,research,8,87189.252923,0.034277,0.018228,0.016049
corpus_calibrated_softmax,0.2,policy,8,30.419967,0.012386,0.011401,0.000985
corpus_calibrated_softmax,0.2,research,9,164964.838356,0.064852,0.142829,-0.077977
corpus_calibrated_softmax,0.2,policy,9,88.928788,0.036209,0.03013,0.006079
corpus_calibrated_softmax,0.2,research,10,78251.637466,0.030763,0.006224,0.024539
corpus_calibrated_softmax,0.2,policy,10,26.4742,0.010779,0.000814,0.009965
corpus_calibrated_softmax,0.2,research,11,144675.5986,0.056876,0.077127,-0.020251
corpus_calibrated_softmax,0.2,policy,11,43.515711,0.017718,0.035423,-0.017705
corpus_calibrated_softmax,0.2,research,12,104433.04371,0.041056,0.037825,0.003231
corpus_calibrated_softmax,0.2,policy,12,32.71774,0.013322,0.004479,0.008843
corpus_calibrated_softmax,0.2,research,13,78750.584153,0.030959,0.020028,0.010931
corpus_calibrated_softmax,0.2,policy,13,360.509062,0.146787,0.155537,-0.00875
corpus_calibrated_softmax,0.2,research,14,131179.651066,0.05157,0.034446,0.017124
corpus_calibrated_softmax,0.2,policy,14,104.976756,0.042743,0.002036,0.040707
corpus_calibrated_softmax,0.2,research,15,130251.751712,0.051206,0.039452,0.011754
corpus_calibrated_softmax,0.2,policy,15,83.35369,0.033939,0.002443,0.031496
corpus_calibrated_softmax,0.2,research,16,211338.681978,0.083083,0.074819,0.008264
corpus_calibrated_softmax,0.2,policy,16,970.967253,0.395345,0.125814,0.269531
corpus_calibrated_softmax,0.2,research,17,55014.584247,0.021628,0.008055,0.013573
corpus_calibrated_softmax,0.2,policy,17,235.129676,0.095737,0.593648,-0.497911
