variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
corpus_calibrated_softmax,0.05,research,2,103812.27873,0.040812,0.034102,0.00671
corpus_calibrated_softmax,0.05,policy,2,57.844509,0.023552,0.003664,0.019888
corpus_calibrated_softmax,0.05,research,3,449430.306259,0.176684,0.178626,-0.001942
corpus_calibrated_softmax,0.05,policy,3,74.507055,0.030337,0.003664,0.026673
corpus_calibrated_softmax,0.05,research,4,293356.225157,0.115327,0.138383,-0.023056
corpus_calibrated_softmax,0.05,policy,4,62.925443,0.025621,0.002036,0.023585
corpus_calibrated_softmax,0.05,research,5,92588.399204,0.036399,0.022897,0.013502
corpus_calibrated_softmax,0.05,policy,5,103.494284,0.042139,0.011401,0.030738
corpus_calibrated_softmax,0.05,research,6,106074.764685,0.041701,0.040331,0.00137
corpus_calibrated_softmax,0.05,policy,6,47.905894,0.019506,0.003664,0.015842
corpus_calibrated_softmax,0.05,research,7,221250.623615,0.08698,0.08369,0.00329
corpus_calibrated_softmax,0.05,policy,7,71.828347,0.029246,0.004072,0.025174
corpus_calibrated_softmax,0.05,research,8,51286.230278,0.020162,0.014762,0.0054
corpus_calibrated_softmax,0.05,policy,8,17.803206,0.007249,0.00285,0.004399
corpus_calibrated_softmax,0.05,research,9,146481.675694,0.057586,0.102461,-0.044875
corpus_calibrated_softmax,0.05,policy,9,76.214134,0.031032,0.023616,0.007416
corpus_calibrated_softmax,0.05,research,10,120207.226731,0.047257,0.009385,0.037872
corpus_calibrated_softmax,0.05,policy,10,24.578081,0.010007,0.0,0.010007
corpus_calibrated_softmax,0.05,research,11,138571.693145,0.054476,0.054506,-3e-05
corpus_calibrated_softmax,0.05,policy,11,35.160782,0.014316,0.027687,-0.013371
corpus_calibrated_softmax,0.05,research,12,90141.41033,0.035437,0.037263,-0.001826
corpus_calibrated_softmax,0.05,policy,12,25.901746,0.010546,0.002443,0.008103
corpus_calibrated_softmax,0.05,research,13,69195.511261,0.027203,0.052316,-0.025113
corpus_calibrated_softmax,0.05,policy,13,428.253429,0.17437,0.354642,-0.180272
corpus_calibrated_softmax,0.05,research,14,143918.436436,0.056578,0.03884,0.017738
corpus_calibrated_softmax,0.05,policy,14,78.37092,0.03191,0.001221,0.030689
corpus_calibrated_softmax,0.05,research,15,143345.516106,0.056353,0.074239,-0.017886
corpus_calibrated_softmax,0.05,policy,15,71.118525,0.028957,0.008143,0.020814
corpus_calibrated_softmax,0.05,research,16,288030.884719,0.113233,0.084023,0.02921
corpus_calibrated_softmax,0.05,policy,16,1078.210303,0.439011,0.197476,0.241535
corpus_calibrated_softmax,0.05,research,17,38685.202677,0.015208,0.027271,-0.012063
corpus_calibrated_softmax,0.05,policy,17,162.485394,0.066159,0.344463,-0.278304
corpus_calibrated_softmax,0.1,research,1,53154.134775,0.020896,0.006905,0.013991
corpus_calibrated_softmax,0.1,policy,1,40.142066,0.016344,0.008958,0.007386
corpus_calibrated_softmax,0.1,research,2,105392.607294,0.041433,0.034102,0.007331
corpus_calibrated_softmax,0.1,policy,2,57.672118,0.023482,0.003664,0.019818
corpus_calibrated_softmax,0.1,research,3,438471.890678,0.172376,0.178626,-0.00625
corpus_calibrated_softmax,0.1,policy,3,74.585007,0.030368,0.003664,0.026704
corpus_calibrated_softmax,0.1,research,4,292768.852348,0.115096,0.138383,-0.023287
corpus_calibrated_softmax,0.1,policy,4,62.721239,0.025538,0.002036,0.023502
corpus_calibrated_softmax,0.1,research,5,96260.880529,0.037843,0.022897,0.014946
corpus_calibrated_softmax,0.1,policy,5,102.822806,0.041866,0.011401,0.030465
corpus_calibrated_softmax,0.1,research,6,108169.340784,0.042524,0.040331,0.002193
corpus_calibrated_softmax,0.1,policy,6,48.642661,0.019806,0.003664,0.016142
corpus_calibrated_softmax,0.1,research,7,218149.423469,0.085761,0.08369,0.002071
corpus_calibrated_softmax,0.1,policy,7,73.82431,0.030059,0.004072,0.025987
corpus_calibrated_softmax,0.1,research,8,56208.588845,0.022097,0.014762,0.007335
corpus_calibrated_softmax,0.1,policy,8,18.588255,0.007569,0.00285,0.004719
corpus_calibrated_softmax,0.1,research,9,145434.255898,0.057174,0.102461,-0.045287
corpus_calibrated_softmax,0.1,policy,9,75.272743,0.030649,0.023616,0.007033
corpus_calibrated_softmax,0.1,research,10,116820.670037,0.045926,0.009385,0.036541
corpus_calibrated_softmax,0.1,policy,10,25.343162,0.010319,0.0,0.010319
corpus_calibrated_softmax,0.1,research,11,138393.809444,0.054407,0.054506,-9.9e-05
corpus_calibrated_softmax,0.1,policy,11,35.93166,0.01463,0.027687,-0.013057
corpus_calibrated_softmax,0.1,research,12,91839.008807,0.036105,0.037263,-0.001158
corpus_calibrated_softmax,0.1,policy,12,26.970246,0.010981,0.002443,0.008538
corpus_calibrated_softmax,0.1,research,13,71438.398179,0.028084,0.052316,-0.024232
corpus_calibrated_softmax,0.1,policy,13,421.407401,0.171583,0.354642,-0.183059
corpus_calibrated_softmax,0.1,research,14,143452.969626,0.056395,0.03884,0.017555
corpus_calibrated_softmax,0.1,policy,14,78.77628,0.032075,0.001221,0.030854
corpus_calibrated_softmax,0.1,research,15,144478.097825,0.056798,0.074239,-0.017441
corpus_calibrated_softmax,0.1,policy,15,73.794488,0.030047,0.008143,0.021904
corpus_calibrated_softmax,0.1,research,16,280737.136962,0.110366,0.084023,0.026343
corpus_calibrated_softmax,0.1,policy,16,1074.776236,0.437612,0.197476,0.240136
corpus_calibrated_softmax,0.1,research,17,42415.700425,0.016675,0.027271,-0.010596
corpus_calibrated_softmax,0.1,policy,17,164.728,0.067072,0.344463,-0.277391
corpus_calibrated_softmax,0.2,research,1,69418.670065,0.02729,0.006905,0.020385
corpus_calibrated_softmax,0.2,policy,1,42.592888,0.017342,0.008958,0.008384
corpus_calibrated_softmax,0.2,research,2,111499.434293,0.043834,0.034102,0.009732
corpus_calibrated_softmax,0.2,policy,2,58.376075,0.023769,0.003664,0.020105
corpus_calibrated_softmax,0.2,research,3,397778.148567,0.156378,0.178626,-0.022248
corpus_calibrated_softmax,0.2,policy,3,74.595277,0.030373,0.003664,0.026709
corpus_calibrated_softmax,0.2,research,4,287924.033421,0.113191,0.138383,-0.025192
corpus_calibrated_softmax,0.2,policy,4,63.295327,0.025772,0.002036,0.023736
corpus_calibrated_softmax,0.2,research,5,108129.565063,0.042509,0.022897,0.019612
corpus_calibrated_softmax,0.2,policy,5,103.362241,0.042086,0.011401,0.030685
corpus_calibrated_softmax,0.2,research,6,115330.762745,0.04534,0.040331,0.005009
corpus_calibrated_softmax,0.2,policy,6,54.108223,0.022031,0.003664,0.018367
corpus_calibrated_softmax,0.2,research,7,208365.85376,0.081915,0.08369,-0.001775
corpus_calibrated_softmax,0.2,policy,7,79.191009,0.032244,0.004072,0.028172
corpus_calibrated_softmax,0.2,research,8,71100.102859,0.027951,0.014762,0.013189
corpus_calibrated_softmax,0.2,policy,8,20.994036,0.008548,0.00285,0.005698
corpus_calibrated_softmax,0.2,research,9,142105.965393,0.055866,0.102461,-0.046595
corpus_calibrated_softmax,0.2,policy,9,74.477334,0.030325,0.023616,0.006709
corpus_calibrated_softmax,0.2,research,10,112365.816375,0.044174,0.009385,0.034789
corpus_calibrated_softmax,0.2,policy,10,28.97124,0.011796,0.0,0.011796
corpus_calibrated_softmax,0.2,research,11,137244.36783,0.053955,0.054506,-0.000551
corpus_calibrated_softmax,0.2,policy,11,38.726352,0.015768,0.027687,-0.011919
corpus_calibrated_softmax,0.2,research,12,98290.909566,0.038641,0.037263,0.001378
corpus_calibrated_softmax,0.2,policy,12,33.974896,0.013833,0.002443,0.01139
corpus_calibrated_softmax,0.2,research,13,79769.370535,0.03136,0.052316,-0.020956
corpus_calibrated_softmax,0.2,policy,13,395.557115,0.161057,0.354642,-0.193585
corpus_calibrated_softmax,0.2,research,14,143125.442484,0.056267,0.03884,0.017427
corpus_calibrated_softmax,0.2,policy,14,82.323697,0.033519,0.001221,0.032298
corpus_calibrated_softmax,0.2,research,15,147244.026269,0.057886,0.074239,-0.016353
corpus_calibrated_softmax,0.2,policy,15,83.662279,0.034064,0.008143,0.025921
corpus_calibrated_softmax,0.2,research,16,258224.251823,0.101515,0.084023,0.017492
corpus_calibrated_softmax,0.2,policy,16,1051.05053,0.427952,0.197476,0.230476
corpus_calibrated_softmax,0.2,research,17,55657.146291,0.02188,0.027271,-0.005391
corpus_calibrated_softmax,0.2,policy,17,170.740453,0.06952,0.344463,-0.274943
